Date,Open,High,Low,Close,Volume,Market Cap
Feb-05-2022,41556.70335,41870.0706,41040.98195,41360.0538,78108918926.222200,786562949420.737000
Feb-04-2022,37282.736,41653.56036,37045.65078,41653.56036,55437962574.222200,732289923801.328000
Feb-03-2022,36876.007,37100.84845,36319.96225,37027.78,48461561216.000000,697161963180.969000
Feb-02-2022,38699.1814,38809.5321,36705.01112,36835.9015,53890737621.333300,720655977540.766000
Feb-01-2022,38465.16237,39210.26203,38103.1383,38761.9683,56064105713.777700,730374447011.677000
Jan-31-2022,37913.2395,38669.2589,36692.12497,38472.00624,55549798961.777700,711351011645.091000
Jan-30-2022,38161.92909,38287.7546,37412.2481,37937.339,34793417166.222200,718755992118.694000
Jan-29-2022,37741.9284,38577.9963,37369.20977,38131.8236,43358998030.222200,716194744589.000000
Jan-28-2022,37062.96443,37929.9448,36168.92719,37784.7229,57734635207.111100,701591357896.459000
Jan-27-2022,36786.69371,37201.84235,35519.974,37201.84235,72166742215.111100,688422851103.924000
Jan-26-2022,36948.83937,38891.8252,36306.58597,36775.5295,63422975943.111100,709933063606.199000
Jan-25-2022,36637.1927,37434.6761,35719.34835,36948.63103,91347141963.818800,691210079787.733000
Jan-24-2022,36245.2641,37205.164,33111.2351,36705.9179,75077380195.555500,664425424142.273000
Jan-23-2022,35044.33393,36411.91505,34692.1279,36231.1426,81586496355.555500,670661229998.939000
Jan-22-2022,36452.3925,36690.31765,34299.96242,35015.93463,105799073362.349000,672308016424.732000
Jan-21-2022,40721.94741,41050.38991,35728.0153,36400.668,86773141888.000000,732232020498.267000
Jan-20-2022,41697.05934,43443.98497,40630.03387,40673.94412,49528825059.555500,799069350717.986000
Jan-19-2022,42373.5257,42472.49707,41204.17481,41676.49878,53128314580.292600,793440774216.989000
